"plot";"abbr";"layer";"cov";"comment";"determined";"history"
"Niklfeld1979:IX:12";"rham pumi";"hl";"+";;;
"Niklfeld1979:IX:12";"camp coch";"hl";"+";;;
"Niklfeld1979:IX:12";"mela sylv";"hl";"+";;;
"Niklfeld1979:IX:12";"buph sali";"hl";"+";;;
"Niklfeld1979:IX:12";"kern saxa";"hl";"+";;;
"Niklfeld1979:IX:12";"aspl tric quad";"hl";"+";;"cf.";
"Niklfeld1979:IX:12";"poly cham";"hl";"+";;;
"Niklfeld1979:IX:12";"clin alpi alpi";"hl";"1";;;
"Niklfeld1979:IX:12";"card cras glau";"hl";"+";;;
"Niklfeld1979:IX:12";"rham saxa saxa";"hl";"+";;;
"Niklfeld1979:IX:12";"sese aust";"hl";"+";;;
"Niklfeld1979:IX:12";"jovi glob hirt";"hl";"+";;;
"Niklfeld1979:IX:12";"poly odor";"hl";"+";;;
"Niklfeld1979:IX:12";"anth ramo";"hl";"1";;;
"Niklfeld1979:IX:12";"sesl caer";"hl";"1";;;
"Niklfeld1979:IX:12";"thym prae poly";"hl";"+";;"cf.";
"Niklfeld1979:IX:12";"euph cypa";"hl";"+";;;
"Niklfeld1979:IX:12";"alli lusi";"hl";"+";;;
"Niklfeld1979:IX:13";"care mucr";"hl";"1";;;
"Niklfeld1979:IX:13";"lase sile sile";"hl";"2";;;
"Niklfeld1979:IX:13";"glob cord";"hl";"1";;;
"Niklfeld1979:IX:13";"teuc mont";"hl";"1";;;
"Niklfeld1979:IX:13";"euph sali";"hl";"1";;;
"Niklfeld1979:IX:13";"rhin glac";"hl";"1";;;
"Niklfeld1979:IX:13";"beto alop";"hl";"1";;;
"Niklfeld1979:IX:13";"gali trun";"hl";"+";;;
"Niklfeld1979:IX:13";"buph sali";"hl";"+";;;
"Niklfeld1979:IX:13";"amel oval";"hl";"+";;;
"Niklfeld1979:IX:13";"aspl ruta";"hl";"+";;;
"Niklfeld1979:IX:13";"clin alpi alpi";"hl";"+";;;
"Niklfeld1979:IX:13";"rham saxa saxa";"hl";"+";;;
"Niklfeld1979:IX:13";"sese aust";"hl";"1";;;
"Niklfeld1979:IX:13";"jovi glob hirt";"hl";"1";;;
"Niklfeld1979:IX:13";"poly odor";"hl";"+";;;
"Niklfeld1979:IX:13";"anth ramo";"hl";"2";;;
"Niklfeld1979:IX:13";"sesl caer";"hl";"2";;;
"Niklfeld1979:IX:13";"thym prae poly";"hl";"+";;;
"Niklfeld1979:IX:13";"euph cypa";"hl";"+";;;
"Niklfeld1979:IX:13";"alli lusi";"hl";"2";;;
"Niklfeld1979:IX:14";"glob cord";"hl";"+";;;
"Niklfeld1979:IX:14";"teuc mont";"hl";"1";;;
"Niklfeld1979:IX:14";"eric carn";"hl";"+";;;
"Niklfeld1979:IX:14";"rhin glac";"hl";"+";;;
"Niklfeld1979:IX:14";"beto alop";"hl";"1";;;
"Niklfeld1979:IX:14";"hipp como";"hl";"+";;;
"Niklfeld1979:IX:14";"poly amar brac";"hl";"+";;;
"Niklfeld1979:IX:14";"buph sali";"hl";"+";;;
"Niklfeld1979:IX:14";"amel oval";"hl";"2";;;
"Niklfeld1979:IX:14";"kern saxa";"hl";"+";;;
"Niklfeld1979:IX:14";"aspl ruta";"hl";"1";;;
"Niklfeld1979:IX:14";"clin alpi alpi";"hl";"1";;;
"Niklfeld1979:IX:14";"thal minu slat";"hl";"2";;;
"Niklfeld1979:IX:14";"knau arve slat";"hl";"1";;;
"Niklfeld1979:IX:14";"sese aust";"hl";"1";;;
"Niklfeld1979:IX:14";"jovi glob hirt";"hl";"1";;;
"Niklfeld1979:IX:14";"sedu albu";"hl";"2";;;
"Niklfeld1979:IX:14";"poly odor";"hl";"2";;;
"Niklfeld1979:IX:14";"anth ramo";"hl";"2";;;
"Niklfeld1979:IX:14";"erys sylv";"hl";"1";;;
"Niklfeld1979:IX:14";"sesl caer";"hl";"1";;;
"Niklfeld1979:IX:14";"care humi";"hl";"3";;;
"Niklfeld1979:IX:14";"thym prae poly";"hl";"1";;"cf.";
"Niklfeld1979:IX:14";"euph cypa";"hl";"1";;;
"Niklfeld1979:IX:14";"alli lusi";"hl";"2";;;
"Niklfeld1979:IX:14";"vinc hiru";"hl";"2";;;
"Niklfeld1979:IX:14";"sang mino mino";"hl";"+";;;
"Niklfeld1979:IX:14";"heli numm obsc";"hl";"1";;;
"Niklfeld1979:IX:14";"teuc cham";"hl";"2";;;
"Niklfeld1979:IX:14";"cent scab slat";"hl";"1";;;
"Niklfeld1979:IX:14";"gali luci";"hl";"2";;;
"Niklfeld1979:IX:14";"viol hirt";"hl";"+";;"cf.";
"Niklfeld1979:IX:15";"gyps repe";"hl";"+";;;
"Niklfeld1979:IX:15";"glob cord";"hl";"2";;;
"Niklfeld1979:IX:15";"teuc mont";"hl";"2";;;
"Niklfeld1979:IX:15";"beto alop";"hl";"+";;;
"Niklfeld1979:IX:15";"gali anis";"hl";"+";;;
"Niklfeld1979:IX:15";"lase lati slat";"hl";"+";;;
"Niklfeld1979:IX:15";"buph sali";"hl";"+";;;
"Niklfeld1979:IX:15";"amel oval";"hl";"1";;;
"Niklfeld1979:IX:15";"kern saxa";"hl";"+";;;
"Niklfeld1979:IX:15";"aspl ruta";"hl";"1";;;
"Niklfeld1979:IX:15";"clin alpi alpi";"hl";"+";;;
"Niklfeld1979:IX:15";"thal minu slat";"hl";"2";;;
"Niklfeld1979:IX:15";"knau arve slat";"hl";"+";;;
"Niklfeld1979:IX:15";"fest vers pall";"hl";"+";;;
"Niklfeld1979:IX:15";"card cras glau";"hl";"+";;;
"Niklfeld1979:IX:15";"rham saxa saxa";"hl";"+";;;
"Niklfeld1979:IX:15";"sese aust";"hl";"2";;;
"Niklfeld1979:IX:15";"jovi glob hirt";"hl";"1";;;
"Niklfeld1979:IX:15";"sedu albu";"hl";"1";;;
"Niklfeld1979:IX:15";"poly odor";"hl";"+";;;
"Niklfeld1979:IX:15";"anth ramo";"hl";"2";;;
"Niklfeld1979:IX:15";"erys sylv";"hl";"1";;;
"Niklfeld1979:IX:15";"sesl caer";"hl";"+";;;
"Niklfeld1979:IX:15";"care humi";"hl";"3";;;
"Niklfeld1979:IX:15";"thym prae poly";"hl";"1";;;
"Niklfeld1979:IX:15";"euph cypa";"hl";"+";;;
"Niklfeld1979:IX:15";"alli lusi";"hl";"+";;;
"Niklfeld1979:IX:15";"vinc hiru";"hl";"1";;;
"Niklfeld1979:IX:15";"anth vuln poly";"hl";"+";;"cf.";
"Niklfeld1979:IX:15";"heli numm obsc";"hl";"1";;;
"Niklfeld1979:IX:15";"teuc cham";"hl";"1";;;
"Niklfeld1979:IX:15";"gali luci";"hl";"+";;;
"Niklfeld1979:IX:15";"berb vulg";"hl";"+";;;
"Niklfeld1979:IX:16";"care mucr";"hl";"1";;;
"Niklfeld1979:IX:16";"glob cord";"hl";"2";;;
"Niklfeld1979:IX:16";"teuc mont";"hl";"1";;;
"Niklfeld1979:IX:16";"buph sali";"hl";"+";;;
"Niklfeld1979:IX:16";"amel oval";"hl";"+";;;
"Niklfeld1979:IX:16";"kern saxa";"hl";"+";;;
"Niklfeld1979:IX:16";"aspl ruta";"hl";"+";;;
"Niklfeld1979:IX:16";"thal minu slat";"hl";"+";;;
"Niklfeld1979:IX:16";"knau arve slat";"hl";"+";;;
"Niklfeld1979:IX:16";"fest vers pall";"hl";"+";;;
"Niklfeld1979:IX:16";"rham saxa saxa";"hl";"+";;;
"Niklfeld1979:IX:16";"sese aust";"hl";"2";;;
"Niklfeld1979:IX:16";"jovi glob hirt";"hl";"+";;;
"Niklfeld1979:IX:16";"poly odor";"hl";"1";;;
"Niklfeld1979:IX:16";"anth ramo";"hl";"1";;;
"Niklfeld1979:IX:16";"care humi";"hl";"1";;;
"Niklfeld1979:IX:16";"alli lusi";"hl";"1";;;
"Niklfeld1979:IX:16";"vinc hiru";"hl";"+";;;
"Niklfeld1979:IX:16";"dian cart cart";"hl";"+";;;
"Niklfeld1979:IX:16";"anth vuln poly";"hl";"+";;;
"Niklfeld1979:IX:16";"heli numm obsc";"hl";"1";;;
"Niklfeld1979:IX:16";"gali luci";"hl";"+";;;
"Niklfeld1979:IX:16";"viol hirt";"hl";"+";;"cf.";
"Karrer1985:I:7";"aspl ruta";"hl";"+";;;
"Karrer1985:I:7";"gali luci";"hl";"+";;;
"Karrer1985:I:7";"teuc mont";"hl";"1";;;
"Karrer1985:I:7";"aspl tric quad";"hl";"+";;;
"Karrer1985:I:7";"sesl caer";"hl";"r";;;
"Karrer1985:I:7";"sese aust";"hl";"+";;;
"Karrer1985:I:7";"erys sylv";"hl";"+";;;
"Karrer1985:I:7";"hier bupl";"hl";"+";;;
"Karrer1985:I:7";"heli canu";"hl";"+";;;
"Karrer1985:I:7";"euph cypa";"hl";"+";;;
"Karrer1985:I:8";"sesl caer";"hl";"+";;;
"Karrer1985:I:8";"gali luci";"hl";"1";;;
"Karrer1985:I:8";"teuc mont";"hl";"+";;;
"Karrer1985:I:8";"sese aust";"hl";"+";;;
"Karrer1985:I:8";"glob cord";"hl";"+";;;
"Karrer1985:I:8";"bupl falc falc";"hl";"+";;;
"Karrer1985:I:8";"meli cili";"hl";"r";;;
"Karrer1985:I:8";"jovi glob hirt";"hl";"+";;;
"Karrer1985:I:8";"dory germ";"hl";"+";;;
"Karrer1985:I:8";"rham saxa saxa";"hl";"+";;;
"Karrer1985:I:8";"pote inca";"hl";"+";;;
"Karrer1985:I:9";"sesl caer";"hl";"3";;;
"Karrer1985:I:9";"gali luci";"hl";"+";;;
"Karrer1985:I:9";"teuc mont";"hl";"+";;;
"Karrer1985:I:9";"sese aust";"hl";"1";;;
"Karrer1985:I:9";"glob cord";"hl";"+";;;
"Karrer1985:I:9";"achi clav";"hl";"+";;;
"Karrer1985:I:9";"heli canu";"hl";"+";;;
"Karrer1985:I:9";"bupl falc falc";"hl";"+";;;
"Karrer1985:I:9";"meli cili";"hl";"+";;;
"Karrer1985:I:9";"camp rotu aggr";"hl";"+";;"agg.";
"Karrer1985:I:9";"drab aizo aizo";"hl";"1";;;
"Karrer1985:I:9";"euph sali";"hl";"r";;;
"Karrer1985:I:9";"clin alpi alpi";"hl";"r";;;
"Karrer1985:I:9";"poa bade";"hl";"r";;;
"Karrer1985:I:10";"sesl caer";"hl";"1";;;
"Karrer1985:I:10";"gali luci";"hl";"1";;;
"Karrer1985:I:10";"teuc mont";"hl";"1";;;
"Karrer1985:I:10";"sese aust";"hl";"r";;;
"Karrer1985:I:10";"erys sylv";"hl";"+";;;
"Karrer1985:I:10";"hier bupl";"hl";"+";;;
"Karrer1985:I:10";"bupl falc falc";"hl";"+";;;
"Karrer1985:I:10";"euph sali";"hl";"r";;;
"Karrer1985:I:10";"alli lusi";"hl";"+";;;
"Karrer1985:I:10";"saxi pani";"hl";"+";;;
"Niklfeld1979:IX:29";"amel oval";"hl";"+";;;
"Niklfeld1979:IX:29";"aspl tric quad";"hl";"+";;"cf.";
"Niklfeld1979:IX:29";"fest pall";"hl";"2";;;
"Niklfeld1979:IX:29";"sese aust";"hl";"1";;;
"Niklfeld1979:IX:29";"jovi glob hirt";"hl";"+";;;
"Niklfeld1979:IX:29";"sedu albu";"hl";"1";;;
"Niklfeld1979:IX:29";"erys sylv";"hl";"+";;;
"Niklfeld1979:IX:29";"sesl caer";"hl";"2";;;
"Niklfeld1979:IX:29";"care humi";"hl";"+";;;
"Niklfeld1979:IX:29";"euph cypa";"hl";"+";;;
"Niklfeld1979:IX:29";"alli lusi";"hl";"+";;;
"Niklfeld1979:IX:29";"dian cart cart";"hl";"+";;;
"Niklfeld1979:IX:29";"heli numm obsc";"hl";"+";;;
"Niklfeld1979:IX:29";"gali luci";"hl";"1";;;
"Niklfeld1979:IX:29";"cham hirs";"hl";"+";;;
"Niklfeld1979:IX:29";"aspe cyna";"hl";"+";;;
"Niklfeld1979:IX:29";"geni pilo";"hl";"1";;;
"Niklfeld1979:IX:30";"kern saxa";"hl";"+";;;
"Niklfeld1979:IX:30";"hier bifi";"hl";"+";;;
"Niklfeld1979:IX:30";"aspl ruta";"hl";"1";;;
"Niklfeld1979:IX:30";"poly cham";"hl";"+";;;
"Niklfeld1979:IX:30";"fest pall";"hl";"+";;;
"Niklfeld1979:IX:30";"sese aust";"hl";"1";;;
"Niklfeld1979:IX:30";"jovi glob hirt";"hl";"1";;;
"Niklfeld1979:IX:30";"sedu albu";"hl";"+";;;
"Niklfeld1979:IX:30";"poly odor";"hl";"+";;;
"Niklfeld1979:IX:30";"anth ramo";"hl";"+";;;
"Niklfeld1979:IX:30";"erys sylv";"hl";"+";;;
"Niklfeld1979:IX:30";"sesl caer";"hl";"3";;;
"Niklfeld1979:IX:30";"care humi";"hl";"2";;;
"Niklfeld1979:IX:30";"euph cypa";"hl";"+";;;
"Niklfeld1979:IX:30";"gali luci";"hl";"+";;;
"Niklfeld1979:IX:30";"aspe cyna";"hl";"+";;;
"Niklfeld1979:IX:30";"puls styr";"hl";"+";;;
"Niklfeld1979:IX:30";"scab ochr";"hl";"+";;;
"Niklfeld1979:IX:30";"geni pilo";"hl";"+";;;
"Niklfeld1979:IX:30";"scor aust";"hl";"+";;;
"Niklfeld1979:IX:30";"card cras glau";"hl";"+";;;
"Niklfeld1979:IX:30";"pimp saxi slat";"hl";"+";;;
"Niklfeld1979:IX:30";"arte camp";"hl";"+";;;
"Niklfeld1979:IX:31";"amel oval";"hl";"+";;;
"Niklfeld1979:IX:31";"kern saxa";"hl";"+";;;
"Niklfeld1979:IX:31";"aspl ruta";"hl";"+";;;
"Niklfeld1979:IX:31";"aspl tric quad";"hl";"+";;"cf.";
"Niklfeld1979:IX:31";"thal minu slat";"hl";"+";;;
"Niklfeld1979:IX:31";"fest pall";"hl";"1";;;
"Niklfeld1979:IX:31";"sese aust";"hl";"1";;;
"Niklfeld1979:IX:31";"jovi glob hirt";"hl";"+";;;
"Niklfeld1979:IX:31";"sedu albu";"hl";"+";;;
"Niklfeld1979:IX:31";"poly odor";"hl";"+";;;
"Niklfeld1979:IX:31";"erys sylv";"hl";"+";;;
"Niklfeld1979:IX:31";"sesl caer";"hl";"2";;;
"Niklfeld1979:IX:31";"care humi";"hl";"2";;;
"Niklfeld1979:IX:31";"thym prae poly";"hl";"+";;"cf.";
"Niklfeld1979:IX:31";"euph cypa";"hl";"+";;;
"Niklfeld1979:IX:31";"alli lusi";"hl";"+";;;
"Niklfeld1979:IX:31";"vinc hiru";"hl";"+";;;
"Niklfeld1979:IX:31";"gali luci";"hl";"+";;;
"Niklfeld1979:IX:31";"aspe cyna";"hl";"1";;;
"Niklfeld1979:IX:31";"puls styr";"hl";"+";;;
"Niklfeld1979:IX:31";"scab ochr";"hl";"+";;;
"Niklfeld1979:IX:31";"geni pilo";"hl";"+";;;
"Niklfeld1979:IX:31";"card cras glau";"hl";"+";;;
"Niklfeld1979:IX:31";"pimp saxi slat";"hl";"+";;;
"Niklfeld1979:IX:31";"echi vulg";"hl";"+";;;
"Niklfeld1979:IX:31";"pote pusi";"hl";"+";;;
"Niklfeld1979:IX:31";"cent stoe stoe";"hl";"+";;;
"Niklfeld1979:IX:31";"meli cili";"hl";"1";;;
"Niklfeld1979:IX:31";"arte camp";"hl";"+";;;
"Niklfeld1979:IX:32";"secu vari";"hl";"2";;;
"Niklfeld1979:IX:32";"amel oval";"hl";"+";;;
"Niklfeld1979:IX:32";"kern saxa";"hl";"+";;;
"Niklfeld1979:IX:32";"aspl ruta";"hl";"+";;;
"Niklfeld1979:IX:32";"aspl tric quad";"hl";"+";;"cf.";
"Niklfeld1979:IX:32";"thal minu slat";"hl";"+";;;
"Niklfeld1979:IX:32";"fest pall";"hl";"1";;;
"Niklfeld1979:IX:32";"sese aust";"hl";"+";;;
"Niklfeld1979:IX:32";"jovi glob hirt";"hl";"+";;;
"Niklfeld1979:IX:32";"sedu albu";"hl";"1";;;
"Niklfeld1979:IX:32";"poly odor";"hl";"+";;;
"Niklfeld1979:IX:32";"anth ramo";"hl";"+";;;
"Niklfeld1979:IX:32";"erys sylv";"hl";"+";;;
"Niklfeld1979:IX:32";"sesl caer";"hl";"2";;;
"Niklfeld1979:IX:32";"care humi";"hl";"+";;;
"Niklfeld1979:IX:32";"euph cypa";"hl";"+";;;
"Niklfeld1979:IX:32";"vinc hiru";"hl";"+";;;
"Niklfeld1979:IX:32";"gali luci";"hl";"+";;;
"Niklfeld1979:IX:32";"stac rect rect";"hl";"+";;;
"Niklfeld1979:IX:32";"puls styr";"hl";"+";;;
"Niklfeld1979:IX:32";"scab ochr";"hl";"+";;;
"Niklfeld1979:IX:32";"geni pilo";"hl";"+";;;
"Niklfeld1979:IX:32";"minu seta";"hl";"+";;;
"Niklfeld1979:IX:32";"scor aust";"hl";"+";;;
"Niklfeld1979:IX:32";"card cras glau";"hl";"+";;;
"Niklfeld1979:IX:32";"alys repe tran";"hl";"+";;;
"Niklfeld1979:IX:32";"echi vulg";"hl";"+";;;
"Niklfeld1979:IX:32";"pote pusi";"hl";"+";;;
"Niklfeld1979:IX:32";"cent stoe stoe";"hl";"+";;;
"Niklfeld1979:IX:32";"plan medi";"hl";"+";;;
"Niklfeld1979:IX:33";"amel oval";"hl";"1";;;
"Niklfeld1979:IX:33";"kern saxa";"hl";"1";;;
"Niklfeld1979:IX:33";"hier bifi";"hl";"+";;;
"Niklfeld1979:IX:33";"aspl ruta";"hl";"+";;;
"Niklfeld1979:IX:33";"aspl tric quad";"hl";"+";;"cf.";
"Niklfeld1979:IX:33";"clin alpi alpi";"hl";"+";;;
"Niklfeld1979:IX:33";"fest pall";"hl";"1";;;
"Niklfeld1979:IX:33";"sese aust";"hl";"1";;;
"Niklfeld1979:IX:33";"jovi glob hirt";"hl";"+";;;
"Niklfeld1979:IX:33";"sedu albu";"hl";"+";;;
"Niklfeld1979:IX:33";"erys sylv";"hl";"+";;;
"Niklfeld1979:IX:33";"sesl caer";"hl";"2";;;
"Niklfeld1979:IX:33";"euph cypa";"hl";"+";;;
"Niklfeld1979:IX:33";"vinc hiru";"hl";"+";;;
"Niklfeld1979:IX:33";"dian cart cart";"hl";"+";;;
"Niklfeld1979:IX:33";"gali luci";"hl";"+";;;
"Niklfeld1979:IX:33";"cham hirs";"hl";"+";;;
"Niklfeld1979:IX:33";"aspe cyna";"hl";"+";;;
"Niklfeld1979:IX:33";"puls styr";"hl";"+";;;
"Niklfeld1979:IX:33";"geni pilo";"hl";"+";;;
"Niklfeld1979:IX:33";"minu seta";"hl";"+";;;
"Niklfeld1979:IX:33";"pote pusi";"hl";"+";;;
"Niklfeld1979:IX:33";"meli cili";"hl";"+";;;
"Niklfeld1979:IX:34";"aspl ruta";"hl";"1";;;
"Niklfeld1979:IX:34";"clin alpi alpi";"hl";"+";;;
"Niklfeld1979:IX:34";"fest pall";"hl";"1";;;
"Niklfeld1979:IX:34";"sese aust";"hl";"+";;;
"Niklfeld1979:IX:34";"jovi glob hirt";"hl";"+";;;
"Niklfeld1979:IX:34";"sedu albu";"hl";"+";;;
"Niklfeld1979:IX:34";"poly odor";"hl";"+";;;
"Niklfeld1979:IX:34";"anth ramo";"hl";"+";;;
"Niklfeld1979:IX:34";"erys sylv";"hl";"+";;;
"Niklfeld1979:IX:34";"sesl caer";"hl";"1";;;
"Niklfeld1979:IX:34";"euph cypa";"hl";"+";;;
"Niklfeld1979:IX:34";"alli lusi";"hl";"+";;;
"Niklfeld1979:IX:34";"dian cart cart";"hl";"+";;;
"Niklfeld1979:IX:34";"teuc cham";"hl";"+";;;
"Niklfeld1979:IX:34";"cent scab slat";"hl";"+";;;
"Niklfeld1979:IX:34";"gali luci";"hl";"+";;;
"Niklfeld1979:IX:34";"stac rect rect";"hl";"+";;;
"Niklfeld1979:IX:34";"cham hirs";"hl";"+";;;
"Niklfeld1979:IX:34";"aspe cyna";"hl";"+";;;
"Niklfeld1979:IX:34";"puls styr";"hl";"+";;;
"Niklfeld1979:IX:34";"scab ochr";"hl";"+";;;
"Niklfeld1979:IX:34";"minu seta";"hl";"1";;;
"Niklfeld1979:IX:34";"scor aust";"hl";"1";;;
"Niklfeld1979:IX:34";"sedu acre";"hl";"+";;;
"Niklfeld1979:IX:34";"pote pusi";"hl";"+";;;
"Niklfeld1979:IX:34";"cent stoe stoe";"hl";"+";;;
"Niklfeld1979:IX:34";"meli cili";"hl";"+";;;
"Niklfeld1979:IX:34";"arte camp";"hl";"+";;;
"Niklfeld1979:IX:34";"salv prat prat";"hl";"+";;;
"Niklfeld1979:IX:35";"hier bifi";"hl";"1";;;
"Niklfeld1979:IX:35";"aspl ruta";"hl";"+";;;
"Niklfeld1979:IX:35";"clin alpi alpi";"hl";"1";;;
"Niklfeld1979:IX:35";"sese aust";"hl";"1";;;
"Niklfeld1979:IX:35";"jovi glob hirt";"hl";"+";;;
"Niklfeld1979:IX:35";"sedu albu";"hl";"+";;;
"Niklfeld1979:IX:35";"anth ramo";"hl";"+";;;
"Niklfeld1979:IX:35";"sesl caer";"hl";"2";;;
"Niklfeld1979:IX:35";"care humi";"hl";"+";;;
"Niklfeld1979:IX:35";"thym prae poly";"hl";"+";;;
"Niklfeld1979:IX:35";"euph cypa";"hl";"+";;;
"Niklfeld1979:IX:35";"alli lusi";"hl";"+";;;
"Niklfeld1979:IX:35";"vinc hiru";"hl";"+";;;
"Niklfeld1979:IX:35";"camp rotu aggr";"hl";"+";;;
